# Reference data digitized from Densmore et al. (2012), Figure 4
# "Material temperature at 1 ns for first heterogeneous problem"
# Monte Carlo curve (Milagro IMC code, 1M particles/timestep)
# x (cm), T_gas (keV)
0.00, 0.86
0.10, 0.80
0.20, 0.73
0.30, 0.64
0.40, 0.55
0.50, 0.47
0.60, 0.41
0.70, 0.36
0.80, 0.32
0.90, 0.29
1.00, 0.26
1.10, 0.24
1.20, 0.22
1.30, 0.20
1.40, 0.19
1.50, 0.18
1.60, 0.175
1.70, 0.17
1.75, 0.17
1.80, 0.175
1.85, 0.19
1.90, 0.23
1.95, 0.32
2.00, 0.48
2.05, 0.65
2.10, 0.74
2.15, 0.64
2.20, 0.44
2.25, 0.27
2.30, 0.14
2.35, 0.07
2.40, 0.03
2.50, 0.01
2.60, 0.003
2.75, 0.001
3.00, 0.001
